Gene	A_vs_B-FC	A_vs_B-p	A_vs_B-FDR	C_vs_B-FC	C_vs_B-p	C_vs_B-FDR	C_vs_D-FC	C_vs_D-p	C_vs_D-FDR	C_vs_E-FC	C_vs_E-p	C_vs_E-FDR
1110001J03Rik	-0.38	0.44	0.54	0.56	0.36	0.89	0.2	0.69	0.8	0.58	0.37	0.68
1110002E22Rik	-0.94	0.017	0.037	-0.22	0.9	0.93	-0.42	0.7	0.8	0.52	0.63	0.68
1110002L01Rik	0.45	0.16	0.25	-0.98	0.00071	0.044	-1	0.0027	0.028	-1.5	0.0018	0.02
1110004E09Rik	0.03	0.8	0.85	-0.69	0.012	0.13	-0.29	0.12	0.37	-0.32	0.094	0.28
1110004F10Rik	0.1	0.098	0.17	0.3	0.013	0.14	0.39	0.0055	0.042	0.29	0.023	0.096
1110006G14Rik	-1.4	9.5e-06	0.0016	-0.04	0.86	0.9	0.06	0.77	0.8	1.5	0.0028	0.025
1110007C09Rik	-0.83	0.34	0.43	0.2	0.84	0.9	1	0.15	0.42	1.9	0.086	0.26
1110008E08Rik	0.16	0.002	0.0048	1.1	0.33	0.84	0.06	0.77	0.8	-0.1	0.64	0.68
1110008F13Rik	0.46	0.026	0.053	-0.55	0.0018	0.057	-0.7	0.00036	0.012	-1.2	0.00058	0.012
1110008J03Rik	-0.12	0.75	0.81	-0.09	0.91	0.94	0.14	0.81	0.84	0.26	0.64	0.68
1110008L16Rik	0.06	0.54	0.62	-0.91	0.0065	0.095	-1.2	0.00032	0.012	-1.3	0.00056	0.012
1110008P14Rik	0.22	0.56	0.64	0.28	0.64	0.9	0.18	0.75	0.8	-0.03	0.95	0.95
1110012L19Rik	-0.35	0.03	0.062	-0.24	0.16	0.6	-0.53	0.018	0.089	-0.18	0.29	0.65
1110017D15Rik	-0.95	0.042	0.081	-0.05	0.97	0.98	1.2	0.22	0.58	2.2	0.068	0.22
1110018G07Rik	0.03	0.76	0.81	0.26	0.059	0.32	0.22	0.05	0.19	0.19	0.074	0.23
1110018N20Rik	-0.98	0.19	0.28	-0.93	0.025	0.19	-0.83	0.039	0.15	0.15	0.76	0.79
1110025L11Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1110028F11Rik	-2.6	0.18	0.28	0.33	0.77	0.9	0.85	0.56	0.8	3.5	0.005	0.035
1110032A03Rik	-0.86	0.077	0.14	0.87	0.0093	0.11	0.36	0.1	0.32	1.2	0.013	0.065
1110032F04Rik	0.55	0.56	0.64	0.51	0.32	0.84	0.12	0.84	0.87	-0.43	0.59	0.68
1110034G24Rik	-0.03	0.76	0.82	0.48	0.02	0.17	-0.56	0.0097	0.06	-0.53	0.024	0.098
1110035H17Rik	2.7	0.0029	0.0067	0.75	0.3	0.82	2.6	0.0011	0.019	-0.1	0.64	0.68
1110035M17Rik	-1.2	0.42	0.52	-0.04	0.86	0.9	0.06	0.77	0.8	1.3	0.3	0.66
1110037F02Rik	-0.02	0.69	0.76	0.14	0.21	0.72	-0.33	0.0081	0.053	-0.31	0.015	0.07
1110038B12Rik	0.48	0.042	0.082	-0.58	0.089	0.42	0.06	0.8	0.83	-0.41	0.19	0.48
1110038F14Rik	0.06	0.74	0.79	0.3	0.42	0.9	0.75	0.063	0.22	0.69	0.055	0.18
1110046J04Rik	-0.37	0.43	0.53	0.69	0.1	0.46	0.84	0.02	0.096	1.2	0.037	0.13
1110051M20Rik	-0.45	0.048	0.091	-0.16	0.41	0.9	0.88	0.0033	0.031	1.3	0.0018	0.02
1110057K04Rik	0.11	0.44	0.54	-0.17	0.19	0.68	-0.21	0.11	0.33	-0.31	0.058	0.19
1110057P08Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1110058L19Rik	-0.32	0.045	0.087	0.1	0.49	0.9	-0.37	0.024	0.11	-0.05	0.7	0.74
1110059E24Rik	-0.27	0.084	0.15	-0.38	0.096	0.44	-0.6	0.027	0.12	-0.33	0.14	0.39
1110059G10Rik	-0.04	0.54	0.63	0.04	0.82	0.9	-0.03	0.88	0.9	0	0.98	0.98
1110059M19Rik	1.3	0.31	0.41	-0.04	0.86	0.9	1.2	0.26	0.59	-0.1	0.64	0.68
1110065P20Rik	-0.19	0.54	0.62	0.49	0.56	0.9	1.1	0.15	0.42	1.3	0.11	0.32
1190002N15Rik	-1	0.088	0.15	0.09	0.65	0.9	0.63	0.052	0.19	1.7	0.0076	0.046
1190003J15Rik	1.1	0.086	0.15	-1.8	0.0016	0.056	-3.1	0.0015	0.021	-4.2	0.00019	0.0087
1190003K10Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1190007I07Rik	0.28	0.47	0.56	-0.82	0.12	0.52	-1.3	0.028	0.12	-1.6	0.017	0.077
1200007C13Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1200011I18Rik	-0.14	0.22	0.32	0.01	0.94	0.96	-0.18	0.26	0.59	-0.04	0.77	0.8
1200014J11Rik	0.15	0.18	0.28	0.06	0.48	0.9	-0.35	0.008	0.052	-0.5	0.0087	0.049
1300002K09Rik	-0.06	0.9	0.93	1.7	0.024	0.19	0.02	0.96	0.97	0.08	0.84	0.86
1300015D01Rik	-1	0.32	0.42	2.3	0.19	0.69	0.62	0.64	0.8	1.6	0.29	0.65
1300017J02Rik	0.61	0.42	0.52	2.8	0.14	0.56	1.7	0.29	0.65	1.1	0.5	0.68
1300018J18Rik	-0.28	0.011	0.024	1.7	2e-04	0.042	2.2	6.5e-05	0.008	2.5	5.9e-05	0.007
1500002C15Rik	-0.91	0.049	0.092	0.81	0.06	0.32	0.98	0.046	0.18	1.9	0.0044	0.032
1500002O10Rik	0.32	0.11	0.19	1	0.19	0.69	3.9	0.00011	0.0088	3.6	0.00016	0.0083
1500009C09Rik	-2.2	0.15	0.23	1.1	0.23	0.75	0.07	0.95	0.96	2.2	0.083	0.25
1500009L16Rik	-0.4	0.0097	0.022	-0.37	0.32	0.83	-0.52	0.04	0.16	-0.11	0.54	0.68
1500011B03Rik	-0.23	0.17	0.26	0.43	0.066	0.34	-0.19	0.37	0.77	0.04	0.82	0.85
1500011K16Rik	0.25	0.56	0.64	0.16	0.81	0.9	0.69	0.3	0.67	0.44	0.46	0.68
1500012F01Rik	0.17	0.28	0.39	-0.66	0.12	0.5	-0.59	0.14	0.41	-0.76	0.083	0.25
1500015L24Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1500015O10Rik	1.9	0.019	0.041	1.1	0.41	0.9	1.2	0.024	0.11	-0.71	0.18	0.47
1500016L03Rik	0.59	0.49	0.57	0.75	0.3	0.82	2.9	0.00028	0.011	2.3	0.028	0.11
1500017E21Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1500035N22Rik	-1	0.43	0.53	-0.04	0.86	0.9	0.06	0.77	0.8	1.1	0.31	0.67
1520401A03Rik	-0.63	0.46	0.55	1.2	0.43	0.9	-1.7	0.26	0.59	-1	0.5	0.68
1600002D24Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1600002H07Rik	0.26	0.024	0.049	0.01	0.97	0.98	0.4	0.095	0.3	0.14	0.46	0.68
1600002K03Rik	1	0.021	0.045	-0.44	0.58	0.9	0.94	0.21	0.54	-0.09	0.89	0.91
1600010F14Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1600012H06Rik	-0.19	0.0054	0.012	0.1	0.54	0.9	-0.01	0.95	0.96	0.19	0.11	0.31
1600012P17Rik	-1.4	0.31	0.41	-1.6	0.31	0.83	-0.35	0.84	0.86	1.1	0.48	0.68
1600014C10Rik	-0.01	0.91	0.93	0.64	0.021	0.18	0.83	0.0082	0.053	0.84	0.0091	0.051
1600014C23Rik	-1	0.43	0.53	-0.04	0.86	0.9	0.06	0.77	0.8	1.1	0.31	0.67
1600014K23Rik	-1.3	0.059	0.11	0.12	0.92	0.95	1.4	0.29	0.64	2.7	0.082	0.25
1600015I10Rik	0.16	0.002	0.0048	-0.83	0.33	0.84	-0.73	0.37	0.77	-0.9	0.28	0.63
1600016N20Rik	-0.66	0.17	0.26	0.18	0.57	0.9	1.1	0.02	0.098	1.8	0.004	0.031
1600025M17Rik	-1.4	0.029	0.059	-0.27	0.9	0.93	1.4	0.43	0.8	2.8	0.15	0.4
1600029D21Rik	-1.3	0.077	0.14	-2.4	0.00059	0.043	-1.6	0.01	0.063	-0.37	0.22	0.53
1600029I14Rik	-0.63	0.46	0.55	-0.83	0.33	0.84	-0.73	0.37	0.77	-0.1	0.92	0.93
1600029O15Rik	-1.4	0.13	0.21	0.82	0.073	0.37	-0.31	0.58	0.8	1.1	0.031	0.12
1700001C02Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700001C19Rik	0.22	0.77	0.82	1.4	0.024	0.19	-0.07	0.91	0.93	-0.29	0.56	0.68
1700001F09Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700001G01Rik	0.16	0.002	0.0048	-0.03	0.99	0.99	-1.3	0.32	0.7	-1.5	0.27	0.62
1700001G11Rik	-0.68	0.0095	0.021	-0.4	0.075	0.37	-1.1	0.0043	0.036	-0.45	0.066	0.21
1700001G17Rik	-1.1	0.24	0.35	1.9	0.28	0.82	3.2	0.011	0.064	4.3	0.00011	0.0077
1700001J03Rik	-0.53	0.54	0.63	0.34	0.78	0.9	1.5	0.17	0.47	2	0.081	0.25
1700001J04Rik	0.16	0.002	0.0048	0.75	0.3	0.82	0.06	0.77	0.8	-0.1	0.64	0.68
1700001K19Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700001L05Rik	0.67	0.056	0.1	-0.71	0.085	0.4	-1.7	0.00023	0.011	-2.3	0.00061	0.012
1700001L19Rik	1.1	0.31	0.41	-0.1	0.9	0.93	-1.4	0.0074	0.05	-2.5	0.036	0.13
1700001O22Rik	0.76	0.18	0.27	0.79	0.35	0.87	1.3	0.17	0.47	0.52	0.54	0.68
1700001P01Rik	0.37	0.59	0.67	-0.45	0.45	0.9	0.04	0.95	0.96	-0.34	0.55	0.68
1700003D09Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700003E16Rik	-0.16	0.86	0.9	-2.2	0.011	0.12	1.5	0.13	0.38	1.6	0.049	0.17
1700003E24Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700003F12Rik	-2	0.39	0.49	-0.03	0.98	0.99	-0.36	0.71	0.8	1.6	0.29	0.65
1700003F17Rik	0.95	0.3	0.4	-0.04	0.86	0.9	0.85	0.26	0.59	-0.1	0.64	0.68
1700003G13Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700003G18Rik	-1.9	0.14	0.22	0.75	0.3	0.82	0.85	0.26	0.59	2.8	0.006	0.039
1700003H04Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700003M02Rik	-0.9	0.23	0.34	-0.58	0.45	0.9	-0.94	0.092	0.3	-0.04	0.95	0.95
1700003M07Rik	-0.77	0.27	0.38	-0.05	0.95	0.96	-0.39	0.6	0.8	0.38	0.65	0.69
1700006A11Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700006D18Rik	0.16	0.002	0.0048	-1.4	0.31	0.83	-1.3	0.32	0.7	-1.5	0.27	0.62
1700006E09Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700006J14Rik	-1.6	0.14	0.22	0.63	0.045	0.27	-1.1	0.08	0.27	0.51	0.37	0.68
1700006P19Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700007B14Rik	0.16	0.002	0.0048	-2.2	0.028	0.2	-2.1	0.027	0.12	-2.3	0.02	0.088
1700007G11Rik	-2.1	0.19	0.29	-2.2	0.13	0.53	-2.4	0.071	0.24	-0.23	0.69	0.73
1700007J10Rik	0.95	0.3	0.4	-0.04	0.86	0.9	0.85	0.26	0.59	-0.1	0.64	0.68
1700007K09Rik	-0.08	0.91	0.93	1.1	0.29	0.82	2	0.0065	0.046	2.1	0.018	0.08
1700007K13Rik	-0.42	0.16	0.24	-1.6	0.0075	0.1	-1.5	0.0024	0.027	-1.1	0.01	0.055
1700007M16Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700007P06Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700008A04Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700008F21Rik	0.16	0.002	0.0048	-0.84	0.23	0.75	-0.73	0.26	0.59	-0.89	0.19	0.48
1700008I05Rik	2	0.0069	0.016	2	0.00075	0.045	0.87	0.009	0.057	-1.1	0.012	0.062
1700008O03Rik	-0.18	0.49	0.57	-0.17	0.8	0.9	1	0.027	0.12	1.2	0.0081	0.047
1700008P02Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700009J07Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700009N14Rik	-1	0.43	0.53	-1.2	0.24	0.76	-1.1	0.26	0.59	-0.1	0.94	0.95
1700009P17Rik	-0.84	0.2	0.3	0.83	0.15	0.59	-0.5	0.35	0.74	0.35	0.56	0.68
1700010B08Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700010D01Rik	0.16	0.002	0.0048	-0.05	0.96	0.97	-0.73	0.26	0.59	-0.89	0.19	0.48
1700010H22Rik	1.7	0.44	0.54	1.9	0.31	0.83	3.6	0.0054	0.042	1.8	0.29	0.65
1700010I14Rik	-0.76	0.076	0.14	-0.96	0.25	0.78	0.16	0.62	0.8	0.92	0.04	0.14
1700010K10Rik	0.16	0.002	0.0048	0.75	0.3	0.82	0.06	0.77	0.8	-0.1	0.64	0.68
1700010K23Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700010K24Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700010L04Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700011A15Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700011E24Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700011H14Rik	2.1	0.015	0.032	8.2	0.00014	0.042	8.7	0.00014	0.0091	6.6	0.00018	0.0085
1700011I03Rik	-0.63	0.46	0.55	-0.04	0.86	0.9	0.06	0.77	0.8	0.69	0.34	0.68
1700011J10Rik	-0.57	0.21	0.31	0.12	0.79	0.9	-0.07	0.81	0.84	0.5	0.26	0.6
1700011L22Rik	0.16	0.002	0.0048	0.75	0.3	0.82	0.06	0.77	0.8	-0.1	0.64	0.68
1700011M02Rik	-0.45	0.78	0.84	-0.04	0.86	0.9	0.85	0.26	0.59	1.3	0.3	0.66
1700012A03Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700012B07Rik	0.16	0.002	0.0048	0.74	0.64	0.9	-1.7	0.26	0.59	-1.8	0.22	0.54
1700012B09Rik	-0.63	0.46	0.55	-0.04	0.86	0.9	0.06	0.77	0.8	0.69	0.34	0.68
1700012B15Rik	0.09	0.5	0.58	0.31	0.19	0.67	0.25	0.2	0.53	0.16	0.31	0.67
1700012C08Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700012C14Rik	-2	0.28	0.39	-0.49	0.71	0.9	-2.3	0.16	0.44	-0.36	0.83	0.85
1700012L04Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700012P22Rik	-2.7	0.083	0.14	-0.04	0.86	0.9	3.5	0.00052	0.013	6.2	0.0021	0.022
1700013D24Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700013F07Rik	-2	0.15	0.23	1.4	0.26	0.8	0.86	0.45	0.8	2.9	0.086	0.26
1700013G23Rik	-0.15	0.72	0.78	1.4	0.28	0.82	4.4	0.00067	0.015	4.5	6.2e-05	0.007
1700013G24Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700013H16Rik	1.7	0.022	0.045	1.3	0.025	0.19	-0.97	0.078	0.26	-2.7	0.0018	0.02
1700013N06Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700014D04Rik	1.3	0.36	0.46	1.1	0.42	0.9	2.1	0.19	0.52	0.84	0.57	0.68
1700015E13Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700015F17Rik	0.95	0.3	0.4	0.75	0.3	0.82	0.85	0.26	0.59	-0.1	0.64	0.68
1700015G11Rik	0.16	0.002	0.0048	1.5	0.31	0.83	0.06	0.77	0.8	-0.1	0.64	0.68
1700016C15Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700016D06Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700016G14Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700016H13Rik	-0.39	0.61	0.69	-0.39	0.39	0.9	-1.9	0.033	0.14	-1.5	0.033	0.12
1700016K19Rik	1.6	0.38	0.48	0.23	0.57	0.9	0.06	0.8	0.83	-1.5	0.29	0.65
1700016P03Rik	-2.2	0.072	0.13	-2	0.0041	0.077	-1.9	0.0034	0.032	0.32	0.65	0.69
1700017B05Rik	0.22	0.21	0.31	0.33	0.51	0.9	0.93	0.069	0.24	0.71	0.11	0.32
1700017D01Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700017G19Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700017J07Rik	1.8	5.8e-06	0.0016	1.8	0.28	0.82	1.6	0.0019	0.023	-0.1	0.64	0.68
1700017N19Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700018A04Rik	0.95	0.3	0.4	-0.04	0.86	0.9	0.85	0.26	0.59	-0.1	0.64	0.68
1700018A14Rik	-0.63	0.46	0.55	-0.04	0.86	0.9	0.06	0.77	0.8	0.69	0.34	0.68
1700018B24Rik	1.7	0.2	0.3	0.88	0.017	0.16	-1.7	0.008	0.053	-3.5	0.016	0.074
1700018C11Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700018F24Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700018M17Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700019A02Rik	1.2	0.41	0.51	-0.23	0.34	0.86	-3.8	0.0029	0.029	-5	0.0076	0.046
1700019B03Rik	0.95	0.3	0.4	-2.6	0.0031	0.072	-1.7	0.077	0.26	-2.7	0.002	0.021
1700019B21Rik	1.2	0.068	0.12	0.9	0.2	0.71	-1	0.014	0.077	-2.2	0.0045	0.033
1700019D03Rik	0.77	0.26	0.37	-1.6	0.00049	0.043	-6.1	3.2e-05	0.008	-6.8	0.00018	0.0085
1700019E08Rik	1.3	0.31	0.41	1.3	0.35	0.87	-3.4	0.096	0.3	-4.7	0.021	0.09
1700019G06Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700019G17Rik	0.26	0.025	0.052	-0.02	0.91	0.93	-0.87	0.0023	0.026	-1.1	0.0013	0.017
1700019G24Rik	0.16	0.002	0.0048	2	0.31	0.83	0.06	0.77	0.8	-0.1	0.64	0.68
1700019L03Rik	-1.4	9.5e-06	0.0016	-0.04	0.86	0.9	0.06	0.77	0.8	1.5	0.0028	0.025
1700019M22Rik	0.95	0.29	0.4	-0.04	0.86	0.9	0.85	0.26	0.59	-0.1	0.64	0.68
1700019N19Rik	1.6	0.2	0.3	3.2	0.002	0.059	0.67	0.26	0.59	-0.89	0.24	0.57
1700019O17Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700020A23Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700020I14Rik	-0.23	0.0016	0.0048	0.72	0.0083	0.11	0.57	0.0028	0.029	0.8	0.0011	0.016
1700020L24Rik	2.5	2.3e-06	0.0016	-0.04	0.86	0.9	2.4	0.00053	0.013	-0.1	0.64	0.68
1700020N01Rik	0.16	0.002	0.0048	-0.05	0.98	0.98	-1.5	0.26	0.59	-1.7	0.22	0.54
1700020N15Rik	-1.4	0.41	0.52	0.75	0.3	0.82	0.06	0.77	0.8	1.5	0.29	0.66
1700021A07Rik	0.16	0.002	0.0048	0.33	0.63	0.9	-2.1	0.027	0.12	-2.3	0.02	0.088
1700021F05Rik	0.15	6e-04	0.0048	-0.46	0.021	0.17	-0.58	0.0097	0.06	-0.73	0.0056	0.038
1700021F07Rik	0.16	0.002	0.0048	1.1	0.33	0.84	0.06	0.77	0.8	-0.1	0.64	0.68
1700021J08Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700021K19Rik	-0.34	0.21	0.31	0.36	0.23	0.76	0.63	0.048	0.18	0.96	0.025	0.1
1700021L23Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700021N21Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700021O21Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700021P04Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700022A21Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700022I11Rik	-0.76	0.61	0.69	-2.8	0.13	0.54	-1.8	0.12	0.37	-1.1	0.19	0.49
1700022K14Rik	-3.4	0.024	0.049	2.5	0.0027	0.067	0.06	0.77	0.8	3.4	0.0059	0.039
1700022P22Rik	1.4	0.14	0.22	0.68	0.47	0.9	-0.18	0.75	0.8	-1.6	0.054	0.18
1700023C21Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1700023E05Rik	1.4	0.38	0.48	1.7	0.029	0.21	0.48	0.51	0.8	-0.89	0.39	0.68
1700023F06Rik	0.77	0.64	0.71	-0.84	0.23	0.75	0.67	0.61	0.8	-0.1	0.91	0.93
1700023H06Rik	0.81	0.68	0.75	-1.6	0.25	0.77	0.84	0.55	0.8	0.05	0.98	0.98
